"Time","LES1-S1"
2025-07-25 00:00:03,0
2025-07-25 00:10:03,0
2025-07-25 00:20:03,0
2025-07-25 00:30:03,0
2025-07-25 00:40:03,0
2025-07-25 00:50:03,0
2025-07-25 01:00:03,0
2025-07-25 01:10:03,0
2025-07-25 01:20:03,0
2025-07-25 01:30:03,0.100
2025-07-25 01:40:03,0
2025-07-25 01:50:03,0
2025-07-25 02:00:03,0
2025-07-25 02:10:03,0
2025-07-25 02:20:03,0
2025-07-25 02:30:03,0
2025-07-25 02:40:03,0
2025-07-25 02:50:03,0
2025-07-25 03:00:03,0
2025-07-25 03:10:03,0
2025-07-25 03:20:03,0
2025-07-25 03:30:03,0
2025-07-25 03:40:03,0
2025-07-25 03:50:03,0
2025-07-25 04:00:03,0
2025-07-25 04:10:03,0
2025-07-25 04:20:03,0
2025-07-25 04:30:03,0
2025-07-25 04:40:03,0
2025-07-25 04:50:03,0
2025-07-25 05:00:03,0
2025-07-25 05:10:03,0
2025-07-25 05:20:03,0
2025-07-25 05:30:03,0
2025-07-25 05:40:03,0
2025-07-25 05:50:03,0
2025-07-25 06:00:03,0
2025-07-25 06:10:03,0
2025-07-25 06:20:03,0
2025-07-25 06:30:03,0
2025-07-25 06:40:03,0
2025-07-25 06:50:03,0
2025-07-25 07:00:03,0
2025-07-25 07:10:03,0
2025-07-25 07:20:03,0
2025-07-25 07:30:03,0
2025-07-25 07:40:03,0
2025-07-25 07:50:03,0
2025-07-25 08:00:03,0
2025-07-25 08:10:03,0
2025-07-25 08:20:03,0
2025-07-25 08:30:03,0
2025-07-25 08:40:03,0
2025-07-25 08:50:03,0
2025-07-25 09:00:03,0
2025-07-25 09:10:03,0
2025-07-25 09:20:03,0
2025-07-25 09:30:03,0
2025-07-25 09:40:03,0
2025-07-25 09:50:03,0
2025-07-25 10:00:03,0
2025-07-25 10:10:03,0
2025-07-25 10:20:03,0
2025-07-25 10:30:03,0
2025-07-25 10:40:03,0
2025-07-25 10:50:03,0
2025-07-25 11:00:03,0
2025-07-25 11:10:03,0
2025-07-25 11:20:03,0
2025-07-25 11:30:03,0
2025-07-25 11:40:03,0
2025-07-25 11:50:03,0
2025-07-25 12:00:03,0
2025-07-25 12:10:03,0
2025-07-25 12:20:03,0
2025-07-25 12:30:03,0
2025-07-25 12:40:03,0
2025-07-25 12:50:03,0
2025-07-25 13:00:03,0
2025-07-25 13:10:03,0
2025-07-25 13:20:03,0
2025-07-25 13:30:03,0
2025-07-25 13:40:03,0
2025-07-25 13:50:03,0
2025-07-25 14:00:03,0
2025-07-25 14:10:03,0
2025-07-25 14:20:03,0
2025-07-25 14:30:03,0
2025-07-25 14:40:03,0
2025-07-25 14:50:03,0
2025-07-25 15:00:03,0
2025-07-25 15:10:03,0
2025-07-25 15:20:03,0.500
2025-07-25 15:30:03,3.30
2025-07-25 15:40:03,2.60
